,Metro Area,I,U,K,GDP,POP,FIPS,Type
47,"Akron, OH",747,102545,220.5,32374943,703987,10420,Metropolitan Statistical Area
31,"Albany-Schenectady-Troy, NY",1146,288666,1486,52128025,882158,10580,Metropolitan Statistical Area
68,"Albuquerque, NM",716,246597,226.6666666,37669706,912311,10740,Metropolitan Statistical Area
50,"Allentown-Bethlehem-Easton, PA-NJ",507,37874,209,39570402,837921,10900,Metropolitan Statistical Area
63,"Ann Arbor, MI",578,1536420,707.5,21313699,368807,11460,Metropolitan Statistical Area
78,"Atlanta-Sandy Springs-Alpharetta, GA",5455,1494,1303.166667,348681584,5872432,12060,Metropolitan Statistical Area
77,"Austin-Round Rock-Georgetown, TX",7926,446,2171.333333,127337977,2115475,12420,Metropolitan Statistical Area
95,"Bakersfield, CA",377,4652,56,50226164,887356,12540,Metropolitan Statistical Area
17,"Baltimore-Columbia-Towson, MD",3042,1849,600.1666666,178407243,2798707,12580,Metropolitan Statistical Area
44,"Bloomington, IL",611,0,162,11826318,172754,14010,Metropolitan Statistical Area
30,"Boise City, ID",1597,696,602,29709413,709682,14260,Metropolitan Statistical Area
2,"Boston-Cambridge-Newton, MA-NH",21949,15964,4061.5,399360729,4841772,14460,Metropolitan Statistical Area
33,"Boulder, CO",1272,499389,505.5,24607654,322441,14500,Metropolitan Statistical Area
24,"Bridgeport-Stamford-Norwalk, CT",1590,9889,425,77609152,943038,14860,Metropolitan Statistical Area
86,"Buffalo-Cheektowaga, NY",790,1546,172,59746005,1129882,15380,Metropolitan Statistical Area
42,"Cedar Rapids, IA",903,546,142,16790507,270653,16300,Metropolitan Statistical Area
72,"Charleston-North Charleston, SC",314,272042,97.99999999,36394735,775537,16700,Metropolitan Statistical Area
25,"Charlotte-Concord-Gastonia, NC-SC",1641,2255,437.5,143835956,2550373,16740,Metropolitan Statistical Area
7,"Chicago-Naperville-Elgin, IL-IN-WI",11612,18690,2345,600421994,9514113,16980,Metropolitan Statistical Area
16,"Cincinnati, OH-KY-IN",3574,0,730.5,122867631,2202558,17140,Metropolitan Statistical Area
32,"Cleveland-Elyria, OH",1380,367,559,117136194,2057238,17460,Metropolitan Statistical Area
61,"Colorado Springs, CO",477,57182,167,33146193,724773,17820,Metropolitan Statistical Area
66,"Columbus, IN",535,0,69,6063299,82213,18020,Metropolitan Statistical Area
23,"Columbus, OH",2167,864732,356.9999999,112512486,2082581,18140,Metropolitan Statistical Area
